Employee;Week;Hours
Corrie;W01.2022;24
Corrie;W02.2022;24
Corrie;W03.2022;24
Corrie;W04.2022;24
Corrie;W05.2022;24
Corrie;W06.2022;24
Corrie;W07.2022;24
Corrie;W08.2022;24
Corrie;W09.2022;24
Corrie;W10.2022;24
Corrie;W11.2022;24
Corrie;W12.2022;24
Corrie;W13.2022;24
Corrie;W14.2022;24
Corrie;W15.2022;24
Corrie;W16.2022;24
Corrie;W17.2022;24
Corrie;W18.2022;24
Corrie;W19.2022;24
Corrie;W20.2022;24
Corrie;W21.2022;24
Corrie;W22.2022;24
Corrie;W23.2022;24
Corrie;W24.2022;24
Corrie;W25.2022;24
Corrie;W26.2022;24
Corrie;W27.2022;24
Corrie;W28.2022;24
Corrie;W29.2022;24
Corrie;W30.2022;24
Corrie;W31.2022;24
Corrie;W32.2022;24
Corrie;W33.2022;24
Corrie;W34.2022;24
Corrie;W35.2022;24
Corrie;W36.2022;24
Corrie;W37.2022;24
Corrie;W38.2022;24
Corrie;W39.2022;24
Corrie;W40.2022;24
Corrie;W41.2022;24
Corrie;W42.2022;24
Corrie;W43.2022;24
Corrie;W44.2022;24
Corrie;W45.2022;24
Corrie;W46.2022;24
Corrie;W47.2022;24
Corrie;W48.2022;24
Corrie;W49.2022;24
Corrie;W50.2022;24
Corrie;W51.2022;24
Corrie;W52.2022;24
Corrie;W01.2023;24
Corrie;W02.2023;24
Corrie;W03.2023;24
Corrie;W04.2023;24
Corrie;W05.2023;24
Corrie;W06.2023;24
Corrie;W07.2023;24
Corrie;W08.2023;24
Corrie;W09.2023;24
Corrie;W10.2023;24
Corrie;W11.2023;24
Corrie;W12.2023;24
Corrie;W13.2023;24
Corrie;W14.2023;24
Corrie;W15.2023;16
Corrie;W16.2023;16
Corrie;W17.2023;16
Corrie;W18.2023;16
Corrie;W19.2023;16
Corrie;W20.2023;16
Corrie;W21.2023;16
Corrie;W22.2023;16
Corrie;W23.2023;16
Corrie;W24.2023;16
Corrie;W25.2023;16
Corrie;W26.2023;16
Corrie;W27.2023;16
Corrie;W28.2023;16
Corrie;W29.2023;16
Corrie;W30.2023;16
Corrie;W31.2023;16
Corrie;W32.2023;16
Corrie;W33.2023;16
Corrie;W34.2023;16
Corrie;W35.2023;16
Corrie;W36.2023;16
Corrie;W37.2023;16
Corrie;W38.2023;16
Corrie;W39.2023;16
Corrie;W40.2023;16
Corrie;W41.2023;16
Corrie;W42.2023;16
Corrie;W43.2023;16
Corrie;W44.2023;16
Corrie;W45.2023;16
Corrie;W46.2023;16
Corrie;W47.2023;16
Corrie;W48.2023;16
Corrie;W49.2023;16
Corrie;W50.2023;16
Corrie;W51.2023;16
Corrie;W52.2023;16
Diederik;W01.2022;40
Diederik;W02.2022;40
Diederik;W03.2022;40
Diederik;W04.2022;40
Diederik;W05.2022;40
Diederik;W06.2022;40
Diederik;W07.2022;40
Diederik;W08.2022;40
Diederik;W09.2022;40
Diederik;W10.2022;40
Diederik;W11.2022;40
Diederik;W12.2022;40
Diederik;W13.2022;40
Diederik;W14.2022;40
Diederik;W15.2022;40
Diederik;W16.2022;40
Diederik;W17.2022;40
Diederik;W18.2022;40
Diederik;W19.2022;40
Diederik;W20.2022;40
Diederik;W21.2022;40
Diederik;W22.2022;40
Diederik;W23.2022;40
Diederik;W24.2022;40
Diederik;W25.2022;40
Diederik;W26.2022;40
Diederik;W27.2022;40
Diederik;W28.2022;40
Diederik;W29.2022;40
Diederik;W30.2022;40
Diederik;W31.2022;24
Diederik;W32.2022;24
Diederik;W33.2022;24
Diederik;W34.2022;24
Diederik;W35.2022;24
Diederik;W36.2022;24
Diederik;W37.2022;24
Diederik;W38.2022;24
Diederik;W39.2022;24
